"k","yp_id","nara_comp_raw_f9","nara_acc_raw_f9","read_word_raw_f9","read_nonw_raw_f9","wold_comp_raw_f8","age_m_f8","age_m_f9","yp_no"
"1","ALSPAC0001",26,69,10,8,11,97,125,1
"3","ALSPAC0002",22,65,9,6,8,102,126,2
"3","ALSPAC0003",18,52,6,4,7,104,129,3
"3","ALSPAC0004",11,54,4,6,5,107,124,4
"1","ALSPAC0005",39,78,10,8,15,106,123,5
"1","ALSPAC0006",17,72,9,7,10,102,120,6
"3","ALSPAC0007",27,51,6,7,13,98,127,7
"3","ALSPAC0008",14,59,5,4,6,106,123,8
"1","ALSPAC0009",33,71,9,8,9,106,122,9
"3","ALSPAC0010",19,83,8,6,9,104,115,10
"1","ALSPAC0011",46,72,10,9,16,105,121,11
"1","ALSPAC0012",38,74,9,7,11,98,121,12
"2","ALSPAC0013",21,44,5,5,10,108,124,13
"2","ALSPAC0014",7,26,1,1,7,105,116,14
"1","ALSPAC0015",35,69,9,9,11,97,122,15
"1","ALSPAC0016",28,72,8,7,11,102,116,16
"1","ALSPAC0017",46,77,8,NA,15,112,120,17
"1","ALSPAC0018",38,77,10,9,14,101,115,18
"1","ALSPAC0019",40,72,7,7,17,101,117,19
"1","ALSPAC0020",17,77,9,9,10,103,109,20
"1","ALSPAC0021",38,71,9,8,8,104,126,21
"1","ALSPAC0022",30,74,8,7,8,101,117,22
"1","ALSPAC0023",27,68,9,8,10,99,127,23
"1","ALSPAC0024",35,74,9,9,9,103,121,24
"1","ALSPAC0025",25,70,8,8,12,110,113,25
"2","ALSPAC0026",13,49,6,3,9,103,116,26
"1","ALSPAC0027",27,70,8,7,9,100,125,27
"1","ALSPAC0028",37,75,9,9,8,106,119,28
"3","ALSPAC0029",16,80,8,6,8,107,112,29
"1","ALSPAC0030",16,59,7,7,7,105,116,30
"2","ALSPAC0031",18,44,5,5,7,97,120,31
"1","ALSPAC0032",39,73,9,8,11,105,123,32
"1","ALSPAC0033",21,64,8,9,8,104,123,33
"3","ALSPAC0034",18,67,5,7,NA,106,119,34
"2","ALSPAC0035",19,51,7,5,8,99,117,35
"3","ALSPAC0036",19,76,6,NA,8,100,121,36
"3","ALSPAC0037",17,52,6,5,7,98,125,37
"2","ALSPAC0038",11,22,2,1,8,104,124,38
"3","ALSPAC0039",25,81,12,9,9,106,115,39
"1","ALSPAC0040",33,74,9,7,5,101,110,40
"1","ALSPAC0041",11,71,8,9,NA,96,119,41
"1","ALSPAC0042",30,70,9,8,10,106,121,42
"1","ALSPAC0043",26,78,11,9,8,111,121,43
"2","ALSPAC0044",16,42,5,5,7,109,116,44
"1","ALSPAC0045",35,84,10,9,8,110,121,45
"2","ALSPAC0046",5,33,4,1,3,98,120,46
"3","ALSPAC0047",13,72,5,6,7,108,119,47
"1","ALSPAC0048",38,83,10,9,8,98,125,48
"1","ALSPAC0049",37,83,10,9,9,104,123,49
"3","ALSPAC0050",12,52,5,3,7,97,113,50
"3","ALSPAC0051",23,70,9,8,7,100,119,51
"3","ALSPAC0052",17,71,7,4,2,97,114,52
"2","ALSPAC0053",13,31,5,0,5,109,122,53
"1","ALSPAC0054",38,72,9,9,13,104,116,54
"3","ALSPAC0055",12,65,7,3,2,109,124,55
"3","ALSPAC0056",18,73,8,5,11,105,119,56
"1","ALSPAC0057",36,79,10,10,12,108,113,57
"2","ALSPAC0058",12,37,5,3,8,107,119,58
"1","ALSPAC0059",34,79,8,8,8,99,117,59
"1","ALSPAC0060",32,74,8,7,16,105,118,60
"1","ALSPAC0061",41,80,10,9,15,107,120,61
"1","ALSPAC0062",22,70,7,7,11,109,122,62
"1","ALSPAC0063",29,83,9,8,9,103,119,63
"1","ALSPAC0064",11,68,8,7,5,103,121,64
"1","ALSPAC0065",35,80,9,8,8,104,113,65
"1","ALSPAC0066",15,71,7,7,11,102,114,66
"2","ALSPAC0067",3,29,5,4,2,103,117,67
"1","ALSPAC0068",38,76,8,8,16,108,116,68
"1","ALSPAC0069",34,72,9,9,10,97,114,69
"1","ALSPAC0070",26,74,9,8,7,107,120,70
"1","ALSPAC0071",45,72,10,8,15,105,121,71
"1","ALSPAC0072",44,82,10,9,13,103,121,72
"1","ALSPAC0073",22,73,11,8,NA,104,117,73
"1","ALSPAC0074",22,69,8,8,9,100,114,74
"1","ALSPAC0075",27,71,8,7,9,106,117,75
"3","ALSPAC0076",21,70,9,6,9,99,118,76
"1","ALSPAC0077",23,60,8,6,6,104,116,77
"1","ALSPAC0078",27,78,9,8,10,106,111,78
"1","ALSPAC0079",25,77,10,9,9,103,117,79
"3","ALSPAC0080",32,87,8,10,10,112,117,80
"1","ALSPAC0081",37,70,9,8,16,99,113,81
"1","ALSPAC0082",21,68,8,6,8,102,115,82
"1","ALSPAC0083",48,84,11,10,15,102,117,83
"1","ALSPAC0084",27,72,8,6,11,105,116,84
"2","ALSPAC0085",10,48,3,2,4,105,119,85
