"k","yp_id","nara_comp_raw_f9","nara_acc_raw_f9","read_word_raw_f9","read_nonw_raw_f9","wold_comp_raw_f8","age_m_f8","age_m_f9"
"1","ALSPAC0001",18,54,9,7,9,97,124
"3","ALSPAC0002",16,78,4,1,10,99,115
"2","ALSPAC0003",47,5,10,9,14,104,129
"2","ALSPAC0004",41,3,10,10,13,107,125
"1","ALSPAC0005",33,45,9,7,14,106,123
"1","ALSPAC0006",18,67,7,5,11,103,121
"2","ALSPAC0007",53,10,10,10,18,99,125
"2","ALSPAC0008",40,8,9,9,12,106,123
"1","ALSPAC0009",23,49,9,7,7,106,121
"2","ALSPAC0010",30,30,8,7,12,104,115
"1","ALSPAC0011",31,35,10,9,12,105,119
"4","ALSPAC0012",18,72,7,2,9,98,120
"5","ALSPAC0013",14,63,5,6,7,108,120
"5","ALSPAC0014",12,38,7,7,7,104,116
"4","ALSPAC0015",13,75,3,1,9,97,120
"1","ALSPAC0016",24,56,7,6,10,102,115
"1","ALSPAC0017",36,37,8,NA,12,112,119
"1","ALSPAC0018",34,49,9,8,13,101,115
"4","ALSPAC0019",14,70,8,7,12,103,124
"4","ALSPAC0020",20,94,2,0,16,107,125
"1","ALSPAC0021",25,43,8,8,5,105,125
"1","ALSPAC0022",27,56,6,6,8,101,117
"1","ALSPAC0023",16,52,8,7,8,100,126
"1","ALSPAC0024",29,50,8,8,8,103,121
"1","ALSPAC0025",21,59,8,7,11,110,112
"3","ALSPAC0026",3,93,0,-1,7,105,120
"4","ALSPAC0027",12,83,4,2,8,98,115
"1","ALSPAC0028",32,48,9,8,7,106,119
"2","ALSPAC0029",30,25,9,8,11,107,113
"1","ALSPAC0030",5,62,7,7,4,105,113
"3","ALSPAC0031",10,93,2,3,6,98,123
"1","ALSPAC0032",29,43,8,7,8,105,122
"1","ALSPAC0033",11,58,8,8,5,104,121
"4","ALSPAC0034",19,72,4,4,NA,106,117
"3","ALSPAC0035",6,99,1,1,5,101,123
"2","ALSPAC0036",35,24,7,NA,12,100,121
"2","ALSPAC0037",47,5,10,10,14,98,125
"5","ALSPAC0038",18,38,9,7,10,105,121
"3","ALSPAC0039",4,91,1,-1,10,107,120
"1","ALSPAC0040",32,56,8,6,5,100,111
"4","ALSPAC0041",12,99,1,1,NA,97,119
"1","ALSPAC0042",22,52,8,7,8,106,119
