"Group","Parameter1","Parameter2","r","CI","CI_low","CI_high","t","df_error","p","Method","n_Obs"
"0","nara_comp_bstd_f9","nara_acc_bstd_f9",0.83,0.95,0.82,0.84,120.25,6596,0,"Pearson correlation",6598
"0","nara_comp_bstd_f9","read_comb_bstd_f9",0.73,0.95,0.71,0.74,85.38,6557,0,"Pearson correlation",6559
"0","nara_comp_bstd_f9","wold_comp_bstd_f8",0.42,0.95,0.4,0.44,34.59,5653,0,"Pearson correlation",5655
"0","nara_comp_bstd_f9","nara_rate_bstd_f9",0.62,0.95,0.6,0.63,63.69,6579,0,"Pearson correlation",6581
"0","nara_comp_bstd_f9","wold_vcb_bstd_f8",0.5,0.95,0.48,0.52,42.92,5634,0,"Pearson correlation",5636
"0","nara_comp_bstd_f9","wisc_vcb_bstd_f8",0.55,0.95,0.53,0.57,49.27,5631,0,"Pearson correlation",5633
"0","nara_comp_bstd_f9","wisc_pcmp_bstd_f8",0.24,0.95,0.21,0.26,18.48,5629,0,"Pearson correlation",5631
"0","nara_comp_bstd_f9","wisc_code_bstd_f8",0.27,0.95,0.25,0.29,21.13,5659,0,"Pearson correlation",5661
"0","nara_comp_bstd_f9","wisc_parr_bstd_f8",0.22,0.95,0.2,0.25,16.99,5602,0,"Pearson correlation",5604
"0","nara_comp_bstd_f9","wisc_bloc_bstd_f8",0.33,0.95,0.3,0.35,25.73,5602,0,"Pearson correlation",5604
"0","nara_comp_bstd_f9","wisc_obja_bstd_f8",0.22,0.95,0.19,0.25,16.55,5351,0,"Pearson correlation",5353
"0","nara_comp_bstd_f9","wisc_bwsp_bstd_f8",0.32,0.95,0.3,0.35,25.38,5537,0,"Pearson correlation",5539
"0","nara_comp_bstd_f9","cntsp_span_bstd_f10",0.34,0.95,0.32,0.36,27.06,5641,0,"Pearson correlation",5643
"0","nara_comp_bstd_f9","teach_slct_bstd_f8",0.15,0.95,0.12,0.17,11.18,5547,0,"Pearson correlation",5549
"0","nara_comp_bstd_f9","teach_divd_bstd_f8",0.16,0.95,0.14,0.19,12.35,5467,0,"Pearson correlation",5469
"0","nara_comp_bstd_f9","teach_ctr_bstd_f8",0.1,0.95,0.07,0.13,7.55,5563,0,"Pearson correlation",5565
"0","nara_comp_bstd_f9","sdq_hyp_prnt_ku",-0.26,0.95,-0.28,-0.23,-19.95,5619,0,"Pearson correlation",5621
"0","nara_acc_bstd_f9","read_comb_bstd_f9",0.84,0.95,0.83,0.85,125.3,6557,0,"Pearson correlation",6559
"0","nara_acc_bstd_f9","wold_comp_bstd_f8",0.29,0.95,0.26,0.31,22.52,5653,0,"Pearson correlation",5655
"0","nara_acc_bstd_f9","nara_rate_bstd_f9",0.69,0.95,0.67,0.7,76.72,6579,0,"Pearson correlation",6581
"0","nara_acc_bstd_f9","wold_vcb_bstd_f8",0.42,0.95,0.4,0.44,34.84,5634,0,"Pearson correlation",5636
"0","nara_acc_bstd_f9","wisc_vcb_bstd_f8",0.45,0.95,0.42,0.47,37.39,5631,0,"Pearson correlation",5633
"0","nara_acc_bstd_f9","wisc_pcmp_bstd_f8",0.17,0.95,0.14,0.19,12.57,5629,0,"Pearson correlation",5631
"0","nara_acc_bstd_f9","wisc_code_bstd_f8",0.26,0.95,0.24,0.29,20.42,5659,0,"Pearson correlation",5661
"0","nara_acc_bstd_f9","wisc_parr_bstd_f8",0.14,0.95,0.11,0.16,10.33,5602,0,"Pearson correlation",5604
"0","nara_acc_bstd_f9","wisc_bloc_bstd_f8",0.26,0.95,0.24,0.29,20.51,5602,0,"Pearson correlation",5604
"0","nara_acc_bstd_f9","wisc_obja_bstd_f8",0.19,0.95,0.17,0.22,14.25,5351,0,"Pearson correlation",5353
"0","nara_acc_bstd_f9","wisc_bwsp_bstd_f8",0.35,0.95,0.33,0.38,28.23,5537,0,"Pearson correlation",5539
"0","nara_acc_bstd_f9","cntsp_span_bstd_f10",0.34,0.95,0.32,0.37,27.53,5641,0,"Pearson correlation",5643
"0","nara_acc_bstd_f9","teach_slct_bstd_f8",0.13,0.95,0.1,0.16,9.77,5547,0,"Pearson correlation",5549
"0","nara_acc_bstd_f9","teach_divd_bstd_f8",0.15,0.95,0.12,0.18,11.16,5467,0,"Pearson correlation",5469
"0","nara_acc_bstd_f9","teach_ctr_bstd_f8",0.09,0.95,0.07,0.12,7.06,5563,0,"Pearson correlation",5565
"0","nara_acc_bstd_f9","sdq_hyp_prnt_ku",-0.28,0.95,-0.3,-0.25,-21.5,5619,0,"Pearson correlation",5621
"0","read_comb_bstd_f9","wold_comp_bstd_f8",0.23,0.95,0.21,0.26,18.12,5625,0,"Pearson correlation",5627
"0","read_comb_bstd_f9","nara_rate_bstd_f9",0.59,0.95,0.58,0.61,59.74,6543,0,"Pearson correlation",6545
"0","read_comb_bstd_f9","wold_vcb_bstd_f8",0.37,0.95,0.35,0.39,29.78,5606,0,"Pearson correlation",5608
"0","read_comb_bstd_f9","wisc_vcb_bstd_f8",0.37,0.95,0.35,0.4,30.12,5602,0,"Pearson correlation",5604
"0","read_comb_bstd_f9","wisc_pcmp_bstd_f8",0.17,0.95,0.14,0.19,12.77,5599,0,"Pearson correlation",5601
"0","read_comb_bstd_f9","wisc_code_bstd_f8",0.22,0.95,0.2,0.25,17.04,5630,0,"Pearson correlation",5632
"0","read_comb_bstd_f9","wisc_parr_bstd_f8",0.11,0.95,0.08,0.14,8.29,5572,0,"Pearson correlation",5574
"0","read_comb_bstd_f9","wisc_bloc_bstd_f8",0.24,0.95,0.22,0.27,18.73,5573,0,"Pearson correlation",5575
"0","read_comb_bstd_f9","wisc_obja_bstd_f8",0.18,0.95,0.15,0.2,13.04,5321,0,"Pearson correlation",5323
"0","read_comb_bstd_f9","wisc_bwsp_bstd_f8",0.32,0.95,0.29,0.34,24.87,5507,0,"Pearson correlation",5509
"0","read_comb_bstd_f9","cntsp_span_bstd_f10",0.32,0.95,0.29,0.34,24.95,5609,0,"Pearson correlation",5611
"0","read_comb_bstd_f9","teach_slct_bstd_f8",0.12,0.95,0.09,0.15,8.98,5519,0,"Pearson correlation",5521
"0","read_comb_bstd_f9","teach_divd_bstd_f8",0.13,0.95,0.11,0.16,10.01,5440,0,"Pearson correlation",5442
"0","read_comb_bstd_f9","teach_ctr_bstd_f8",0.1,0.95,0.07,0.12,7.2,5535,0,"Pearson correlation",5537
"0","read_comb_bstd_f9","sdq_hyp_prnt_ku",-0.25,0.95,-0.28,-0.23,-19.36,5590,0,"Pearson correlation",5592
"0","wold_comp_bstd_f8","nara_rate_bstd_f9",0.29,0.95,0.27,0.31,22.74,5640,0,"Pearson correlation",5642
"0","wold_comp_bstd_f8","wold_vcb_bstd_f8",0.39,0.95,0.37,0.41,31.86,5628,0,"Pearson correlation",5630
