"Specification","Classes","Parameters","LL","BIC","CAIC","AWE","VLMR_p","LMR_p","BF","cmP_k","cmP_best"
" Model A",1,17,-60382.88,120904.11,120921.11,120929.61,"-","-","-","<0.01","-"
" Model A",2,24,-57767.55,115730.42,115754.42,115766.42,"<0.01","<0.01",">100","<0.01","-"
" Model A",3,31,-56707.57,113667.43,113698.43,113713.93,"<0.01","<0.01",">100","<0.01","-"
" Model A",4,38,-56171.22,112651.7,112689.69,112708.69,"<0.01","<0.01",">100","<0.01","-"
" Model A",5,45,-55766.09,111898.4,111943.4,111965.9,"<0.01","<0.01",">100","<0.01","0"
" Model A",6,52,-55493.25,111409.69,111461.69,111487.69,"0.19","0.19",">100","<0.01","-"
" Model A",7,59,-55281.56,111043.29,111102.29,111131.79,"0.41","0.42",">100","<0.01","-"
" Model A",8,66,-55099.07,110735.26,110801.26,110834.26,"0.19","0.20",">100","<0.01","-"
" Model B",1,23,-56151.25,112489.68,112512.68,112524.18,"-","-","-","<0.01","-"
" Model B",2,30,-55222.49,110689.13,110719.13,110734.13,"<0.01","<0.01",">100","<0.01","-"
" Model B",3,37,-54995.67,110292.45,110329.45,110347.95,"<0.01","<0.01",">100","<0.01","-"
" Model B",4,44,-54802.68,109963.44,110007.44,110029.44,"<0.01","<0.01",">100","<0.01","-"
" Model B",5,51,-54670.92,109756.89,109807.89,109833.39,"-","-",">100","<0.01","0"
" Model B",6,58,-54588.42,109648.86,109706.86,109735.86,"0.44","0.44",">100","<0.01","-"
" Model B",7,65,-54521.03,109571.05,109636.05,109668.55,"0.24","0.24",">100","<0.01","-"
" Model B",8,72,-54457.28,109500.51,109572.51,109608.51,"0.10","0.10",">100","<0.01","-"
" Model C",1,17,-60382.88,120904.11,120921.11,120929.61,"-","-","-","<0.01","-"
" Model C",2,28,-57593.25,115414.38,115442.38,115456.38,"<0.01","<0.01",">100","<0.01","-"
" Model C",3,39,-56631.39,113580.18,113619.17,113638.67,"0.01","0.01",">100","<0.01","-"
" Model C",4,50,-55930,112266.92,112316.92,112341.92,"<0.01","<0.01",">100","<0.01","-"
" Model C",5,61,-55405.57,111307.57,111368.57,111399.07,"<0.01","<0.01",">100","<0.01","0"
" Model C",6,72,-55114.32,110814.59,110886.59,110922.59,"<0.01","<0.01",">100","<0.01","-"
" Model C",7,83,-54965.41,110606.3,110689.29,110730.79,"0.08","0.08",">100","<0.01","-"
" Model C",8,94,-54841.99,110448.98,110542.98,110589.98,"0.05","0.05",">100","<0.01","-"
" Model D",1,23,-56151.25,112489.68,112512.68,112524.18,"-","-","-","<0.01","-"
" Model D",2,34,-55222.09,110720.88,110754.88,110771.88,"<0.01","<0.01",">100","<0.01","-"
" Model D",3,45,-54922.88,110211.98,110256.98,110279.48,"<0.01","<0.01",">100","<0.01","0"
" Model D",4,56,-54722.61,109900.97,109956.97,109984.97,"<0.01","<0.01",">100","<0.01","-"
" Model D",5,67,-54558.06,109661.39,109728.39,109761.89,"<0.01","<0.01",">100","<0.01","-"
" Model D",6,78,-54469.91,109574.61,109652.61,109691.61,"0.25","0.25",">100","<0.01","-"
" Model D",7,89,-54372.97,109470.25,109559.25,109603.75,"0.26","0.26",">100","<0.01","-"
" Model D",8,100,-54288.88,109391.59,109491.59,109541.59,"0.07","0.07",">100","<0.01","-"
" Model E",1,23,-56151.25,112489.68,112512.68,112524.18,"-","-","-","<0.01","-"
" Model E",2,40,-55212.87,110751.27,110791.27,110811.27,"<0.01","<0.01",">100","<0.01","-"
" Model E",3,57,-54753.05,109969.98,110026.98,110055.48,"<0.01","<0.01",">100","<0.01","-"
" Model E",4,74,-54528.52,109659.26,109733.26,109770.26,"<0.01","<0.01",">100","<0.01","1"
" Model E",5,91,-54325.78,109392.15,109483.15,109528.65,"0.01","0.01",">100","<0.01","-"
" Model E",6,108,-54154,109186.93,109294.93,109348.93,"<0.01","<0.01",">100","<0.01","-"
" Model E",7,125,-54075.4,109168.09,109293.09,109355.59,"0.48","0.48",">100",">0.99","-"
" Model E",8,142,-54036.32,109228.28,109370.28,109441.28,"-","-","<0.01","<0.01","-"
