"Data collection wave (% missing)","Wave-level missingness (%)","Measure","Data availability (n)","Total missingness (%)","Measure-specific missingness (%)"
"f8",13.75,"teach_ctr_diff_f8",5758,15.89,2.14
"f8",13.75,"teach_divd_raw_f8",5652,17.44,3.69
"f8",13.75,"teach_slct_raw_f8",5742,16.13,2.38
"f8",13.75,"wisc_bloc_raw_f8",5791,15.41,1.66
"f8",13.75,"wisc_bwsp_raw_f8",5731,16.29,2.54
"f8",13.75,"wisc_code_raw_f8",5856,14.46,0.710000000000001
"f8",13.75,"wisc_obja_raw_f8",5540,19.08,5.33
"f8",13.75,"wisc_parr_raw_f8",5797,15.32,1.57
"f8",13.75,"wisc_pcmp_raw_f8",5828,14.87,1.12
"f8",13.75,"wisc_vcb_raw_f8",5828,14.87,1.12
"f8",13.75,"wold_comp_raw_f8",5852,14.52,0.77
"f8",13.75,"wold_vcb_raw_f8",5828,14.87,1.12
"ku",13.89,"sdq_hyp_prnt_ku",5812,15.1,1.21
"f9",0,"nara_acc_raw_f9",6846,0,0
"f9",0,"nara_comp_raw_f9",6846,0,0
"f9",0,"nara_rate_raw_f9",6828,0.26,0.26
"f9",0,"read_nonw_raw_f9",6807,0.57,0.57
"f9",0,"read_word_raw_f9",6816,0.44,0.44
"f10",9.76,"cntsp_span_raw_f10",5855,14.48,4.72
