"Specification","Classes","LL","Parameters","BIC","CAIC","AWE","LMR_p"
"Shape FMM",1,-56606.66,21,113384.22,113405.22,113415.72,"-"
"Shape FMM",2,-55572.4,31,111397.09,111428.09,111443.59,"<0.01"
"Shape FMM",3,-55340.58,41,111014.83,111055.83,111076.33,"<0.01"
"Shape FMM",4,-55099.23,51,110613.51,110664.51,110690.01,"<0.01"
"Shape FMM",5,-54875.34,61,110247.12,110308.11,110338.61,"<0.01"
"Shape FMM",6,-54810.25,71,110198.31,110269.31,110304.81,"0.39"
"Shape FMM",7,-54764.36,81,110187.91,110268.91,110309.41,"0.23"
"Shape FMM",8,-54719.23,91,110179.05,110270.05,110315.55,"<0.01"
"Shape LPA",1,-47188.91,21,94548.73,94569.73,94580.23,"-"
"Shape LPA",2,-46154.49,32,92569.4,92601.4,92617.4,"<0.01"
"Shape LPA",3,-45348.61,43,91047.17,91090.17,91111.67,"<0.01"
"Shape LPA",4,-44879.47,54,90198.41,90252.41,90279.41,"0.01"
"Shape LPA",5,-44486.31,65,89501.6,89566.6,89599.1,"0.03"
"Shape LPA",6,-44161.68,76,88941.87,89017.87,89055.87,"0.13"
"Shape LPA",7,-43882.22,87,88472.47,88559.47,88602.97,"0.18"
"Shape LPA",8,-43681.29,98,88160.13,88258.13,88307.13,"0.60"
