"Specification","Classes","LL","Parameters","BIC","CAIC","AWE","LMR_p"
"Original LPA",1,-56151.25,23,112489.68,112512.68,112524.18,"-"
"Original LPA",2,-55212.87,40,110751.27,110791.27,110811.27,"<0.01"
"Original LPA",3,-54753.05,57,109969.98,110026.98,110055.48,"<0.01"
"Original LPA",4,-54528.52,74,109659.26,109733.26,109770.26,"<0.01"
"Original LPA",5,-54325.78,91,109392.15,109483.15,109528.65,"0.01"
"Original LPA",6,-54154,108,109186.93,109294.93,109348.93,"<0.01"
"Original LPA",7,-54075.4,125,109168.09,109293.09,109355.59,"0.48"
"Original LPA",8,-54036.32,142,109228.28,109370.28,109441.28,"-"
"Shape FMM",1,-56155.95,21,112482.81,112503.81,112514.31,"-"
"Shape FMM",2,-55227.12,31,110706.53,110737.53,110753.03,"<0.01"
"Shape FMM",3,-54970.38,41,110274.42,110315.43,110335.93,"<0.01"
"Shape FMM",4,-54766.79,51,109948.62,109999.62,110025.12,"<0.01"
"Shape FMM",5,-54598.53,61,109693.5,109754.5,109785,"<0.01"
"Shape FMM",6,-54514.65,71,109607.11,109678.11,109713.61,"0.24"
"Shape FMM",7,-54426.85,81,109512.89,109593.89,109634.39,"0.51"
"Shape FMM",8,-54338.61,91,109417.81,109508.81,109554.31,"0.13"
"Shape LPA",1,-45149.84,21,90470.58,90491.58,90502.08,"-"
"Shape LPA",2,-44243.07,32,88746.56,88778.56,88794.56,"<0.01"
"Shape LPA",3,-43389.59,43,87129.12,87172.12,87193.62,"<0.01"
"Shape LPA",4,-42901.57,54,86242.6,86296.6,86323.6,"0.22"
"Shape LPA",5,-42505.8,65,85540.59,85605.59,85638.09,"<0.01"
"Shape LPA",6,-42129.85,76,84878.21,84954.21,84992.21,"<0.01"
"Shape LPA",7,-41855.31,87,84418.64,84505.64,84549.14,"0.62"
"Shape LPA",8,-41593.65,98,83984.84,84082.84,84131.84,"0.20"
